"item","condition","exp","UB","LB","low","high","y","x","group"
"coffee maker","original",6,104,100,0.0194332836277156,0.0301990686845155,0.024417494108915,102,"coffee maker original 6"
"coffee maker","original",6,108,104,0.0191419859414058,0.0272039390168324,0.0230109177029976,106,"coffee maker original 6"
"coffee maker","original",6,112,108,0.0170564640497708,0.0251598627395859,0.0211052031035679,110,"coffee maker original 6"
"coffee maker","original",6,116,112,0.0159041468719855,0.0246141942790612,0.020383521799066,114,"coffee maker original 6"
"coffee maker","original",6,120,116,0.0150559757615458,0.0231924873710748,0.019409118164464,118,"coffee maker original 6"
"coffee maker","original",6,124,120,0.0169452442388906,0.0240129221911819,0.0205528238522234,122,"coffee maker original 6"
"coffee maker","original",6,128,124,0.0165087561054779,0.0242310013090204,0.0203318039393456,126,"coffee maker original 6"
"coffee maker","original",6,132,128,0.0152365530175865,0.0228414510645205,0.0193604204612001,130,"coffee maker original 6"
"coffee maker","original",6,136,132,0.0149330565772952,0.0223976555575946,0.0187141129130027,134,"coffee maker original 6"
"coffee maker","original",6,140,136,0.0131411947672709,0.0216844125221934,0.0174045382025617,138,"coffee maker original 6"
"coffee maker","original",6,144,140,0.0129620419374626,0.0215478498132123,0.0173889107167211,142,"coffee maker original 6"
"coffee maker","original",6,148,144,0.013453456805585,0.021094183217893,0.0172579943355148,146,"coffee maker original 6"
"coffee maker","original",6,152,148,0.012816819112345,0.0213280140387236,0.0170381067177337,150,"coffee maker original 6"
"coffee maker","original",6,156,152,0.0122152232155107,0.0212539721869418,0.0167279108607167,154,"coffee maker original 6"
"coffee maker","original",6,160,156,0.0120460122573891,0.0211164888220622,0.0166929878425579,158,"coffee maker original 6"
"coffee maker","original",6,164,160,0.0120998343527212,0.0202147659945586,0.0161564411407514,162,"coffee maker original 6"
"coffee maker","original",6,168,164,0.0119966906615695,0.0202450544083698,0.0160436294940636,166,"coffee maker original 6"
"coffee maker","original",6,172,168,0.0115053452855648,0.0200944579806962,0.0158578269715784,170,"coffee maker original 6"
"coffee maker","original",6,176,172,0.0108890839526299,0.0190703163078298,0.0150310350090949,174,"coffee maker original 6"
"coffee maker","original",6,180,176,0.00989470947299134,0.0185545679225788,0.0142119718599374,178,"coffee maker original 6"
"coffee maker","original",6,184,180,0.00963912408936784,0.0184538810799044,0.0141384408023456,182,"coffee maker original 6"
"coffee maker","original",6,188,184,0.00975588441114773,0.0185827615367265,0.014136608315977,186,"coffee maker original 6"
"coffee maker","original",6,192,188,0.0101928153586081,0.0185416881320418,0.0143235155273178,190,"coffee maker original 6"
"coffee maker","original",6,196,192,0.00977808861730832,0.0187722196608235,0.0140920156637875,194,"coffee maker original 6"
