prior_version,object,price,theta,probability,utterance_cost,alpha
exp1,laptop,900,700,0.001138867657240136,6,1
exp1,laptop,900,650,0.0010697540859198444,6,1
exp1,laptop,900,600,0.0010082830419194983,6,1
exp1,laptop,900,550,0.0009522573435773618,6,1
exp1,laptop,900,500,0.0009025135888527414,6,1
exp1,laptop,900,450,0.0008585837480998695,6,1
exp1,laptop,900,400,0.000822560934150023,6,1
exp1,laptop,900,350,0.0007921340105475192,6,1
exp1,laptop,900,300,0.0007667511421871789,6,1
exp1,laptop,900,250,0.0007472293443751475,6,1
exp1,laptop,900,200,0.0007319302609978778,6,1
exp1,laptop,900,150,0.0007208334632922116,6,1
exp1,laptop,900,100,0.0007137939183176369,6,1
exp1,laptop,900,50,0.0007094590684619473,6,1
exp1,laptop,900,0,0.0007075328664289466,6,1
exp1,laptop,400,350,0.0007771234280881997,6,1
exp1,laptop,400,300,0.0007522215536424036,6,1
exp1,laptop,400,250,0.0007330696850997985,6,1
exp1,laptop,400,200,0.0007180605124567364,6,1
exp1,laptop,400,150,0.0007071739940659038,6,1
exp1,laptop,400,100,0.0007002678452956466,6,1
exp1,laptop,400,50,0.0006960151388908634,6,1
exp1,laptop,400,0,0.0006941254375181848,6,1
exp1,laptop,950,900,0.0014247995671895605,6,1
exp1,laptop,950,850,0.001330026817843206,6,1
exp1,laptop,950,800,0.001237201588900507,6,1
exp1,laptop,950,750,0.001156301622440599,6,1
exp1,laptop,950,700,0.0010839366846602594,6,1
exp1,laptop,950,650,0.0010181566663361862,6,1
exp1,laptop,950,600,0.0009596505535207562,6,1
exp1,laptop,950,550,0.0009063271411552498,6,1
exp1,laptop,950,500,0.0008589826755924799,6,1
exp1,laptop,950,450,0.0008171717016477888,6,1
exp1,laptop,950,400,0.0007828863750984744,6,1
exp1,laptop,950,350,0.0007539270324703492,6,1
exp1,laptop,950,300,0.0007297684553057737,6,1
exp1,laptop,950,250,0.0007111882518339647,6,1
exp1,laptop,950,200,0.0006966270887270216,6,1
exp1,laptop,950,150,0.0006860655225617525,6,1
exp1,laptop,950,100,0.0006793655157675064,6,1
exp1,laptop,950,50,0.0006752397486064087,6,1
exp1,laptop,950,0,0.0006734064530234116,6,1
exp1,laptop,1000,950,0.0014478828832915043,6,1
exp1,laptop,1000,900,0.001349688381525838,6,1
exp1,laptop,1000,850,0.0012599117689947527,6,1
exp1,laptop,1000,800,0.0011719800093974594,6,1
exp1,laptop,1000,750,0.001095344847995673,6,1
exp1,laptop,1000,700,0.0010267947740055345,6,1
exp1,laptop,1000,650,0.0009644824821484563,6,1
exp1,laptop,1000,600,0.0009090606371860869,6,1
exp1,laptop,1000,550,0.0008585482761562518,6,1
exp1,laptop,1000,500,0.000813699669677751,6,1
exp1,laptop,1000,450,0.0007740928456353058,6,1
exp1,laptop,1000,400,0.0007416149392925167,6,1
exp1,laptop,1000,350,0.0007141822468760625,6,1
exp1,laptop,1000,300,0.0006912972378796462,6,1
exp1,laptop,1000,250,0.0006736965273447962,6,1
