prior_version,object,price,theta,probability,utterance_cost,alpha
exp1,sweater,27,6,0.000015974179878084107,6,5
exp1,sweater,27,3,0.000015083038795088525,6,5
exp1,sweater,27,0,0.000014463882219401086,6,5
exp1,sweater,45,42,0.00014673601860330267,6,5
exp1,sweater,45,39,0.00011438938326061054,6,5
exp1,sweater,45,36,0.00008920136973058887,6,5
exp1,sweater,45,33,0.00007008772984172911,6,5
exp1,sweater,45,30,0.0000558189658451879,6,5
exp1,sweater,45,27,0.000044939582609692537,6,5
exp1,sweater,45,24,0.00003693081464460616,6,5
exp1,sweater,45,21,0.00003077485947291644,6,5
exp1,sweater,45,18,0.000025975261709570378,6,5
exp1,sweater,45,15,0.000022241825709992557,6,5
exp1,sweater,45,12,0.000019343377737727125,6,5
exp1,sweater,45,9,0.000017119043718458314,6,5
exp1,sweater,45,6,0.000015651807584922187,6,5
exp1,sweater,45,3,0.00001477865047335103,6,5
exp1,sweater,45,0,0.000014171988994541927,6,5
exp1,sweater,48,45,0.00018655404160006068,6,5
exp1,sweater,48,42,0.00014526681671246438,6,5
exp1,sweater,48,39,0.00011324405371045629,6,5
exp1,sweater,48,36,0.00008830823645410376,6,5
exp1,sweater,48,33,0.0000693859728621672,6,5
exp1,sweater,48,30,0.0000552600755948936,6,5
exp1,sweater,48,27,0.00004448962274045199,6,5
exp1,sweater,48,24,0.00003656104297421124,6,5
exp1,sweater,48,21,0.000030466724618514534,6,5
exp1,sweater,48,18,0.00002571518307324124,6,5
exp1,sweater,48,15,0.00002201912829254968,6,5
exp1,sweater,48,12,0.00001914970117884291,6,5
exp1,sweater,48,9,0.00001694763841770202,6,5
exp1,sweater,48,6,0.000015495093060992184,6,5
exp1,sweater,48,3,0.000014630678479656816,6,5
exp1,sweater,48,0,0.00001403009122993102,6,5
exp1,sweater,24,21,0.000030275492485034196,6,5
exp1,sweater,24,18,0.000025553775196828266,6,5
exp1,sweater,24,15,0.00002188091964250652,6,5
exp1,sweater,24,12,0.00001902950321671226,6,5
exp1,sweater,24,9,0.000016841262261661244,6,5
exp1,sweater,24,6,0.000015397834174727488,6,5
exp1,sweater,24,3,0.000014538845311012577,6,5
exp1,sweater,24,0,0.000013942027799666743,6,5
exp1,sweater,21,18,0.000024592340513611138,6,5
exp1,sweater,21,15,0.00002105767239692522,6,5
exp1,sweater,21,12,0.00001831353760082902,6,5
exp1,sweater,21,9,0.00001620762697596277,6,5
exp1,sweater,21,6,0.00001481850639603409,6,5
exp1,sweater,21,3,0.000013991836110678408,6,5
exp1,sweater,21,0,0.000013417473248422169,6,5
exp1,sweater,51,48,0.00022593234642966358,6,5
exp1,sweater,51,45,0.0001744297006735967,6,5
exp1,sweater,51,42,0.00013582577541409332,6,5
exp1,sweater,51,39,0.00010588420503977494,6,5
exp1,sweater,51,36,0.00008256899244630186,6,5
exp1,sweater,51,33,0.00006487650641866431,6,5
exp1,sweater,51,30,0.00005166866588654204,6,5
exp1,sweater,51,27,0.00004159819594975606,6,5
exp1,sweater,51,24,0.00003418490281747987,6,5
exp1,sweater,51,21,0.000028486660541535082,6,5
exp1,sweater,51,18,0.00002404392661644013,6,5
exp1,sweater,51,15,0.000020588082274823693,6,5
exp1,sweater,51,12,0.000017905142209544595,6,5
exp1,sweater,51,9,0.000015846193794405196,6,5
exp1,sweater,51,6,0.00001448805086910266,6,5
exp1,sweater,51,3,0.000013679815489225634,6,5
exp1,sweater,51,0,0.000013118261028654775,6,5
exp1,sweater,18,15,0.000019895093430699082,6,5
exp1,sweater,18,12,0.000017302460345442357,6,5
exp1,sweater,18,9,0.00001531281553339113,6,5
exp1,sweater,18,6,0.000014000387302803647,6,5
exp1,sweater,18,3,0.000013219356890062682,6,5
exp1,sweater,18,0,0.000012676704188837277,6,5
exp1,sweater,54,51,0.0002699764809430195,6,5
exp1,sweater,54,48,0.0002097933766809527,6,5
exp1,sweater,54,45,0.0001619697067553539,6,5
exp1,sweater,54,42,0.00012612336619671424,6,5
exp1,sweater,54,39,0.00009832060465670512,6,5
exp1,sweater,54,36,0.00007667086191151694,6,5
exp1,sweater,54,33,0.000060242198887941046,6,5
exp1,sweater,54,30,0.000047977830780915624,6,5
exp1,sweater,54,27,0.0000386267222469276,6,5
exp1,sweater,54,24,0.0000317429810601378,6,5
exp1,sweater,54,21,0.000026451779923567628,6,5
exp1,sweater,54,18,0.000022326402718533972,6,5
