"price","object"
699.99,"laptop"
1000,"laptop"
699.99,"laptop"
500,"laptop"
299.99,"laptop"
300,"laptop"
424.99,"laptop"
800,"laptop"
550,"laptop"
650,"laptop"
1220.99,"laptop"
800,"laptop"
799,"laptop"
499.99,"laptop"
750,"laptop"
599.99,"laptop"
650,"laptop"
599.99,"laptop"
1000,"laptop"
900,"laptop"
450,"laptop"
450.5,"laptop"
599.99,"laptop"
599.99,"laptop"
600.99,"laptop"
300,"laptop"
400,"laptop"
529.99,"laptop"
999.99,"laptop"
1000,"laptop"
499.95,"laptop"
750,"laptop"
899.99,"laptop"
425,"laptop"
399.99,"laptop"
398.99,"laptop"
700,"laptop"
400,"laptop"
700,"laptop"
399.99,"laptop"
678.65,"laptop"
800,"laptop"
379.99,"laptop"
800,"laptop"
299.99,"laptop"
500,"laptop"
499,"laptop"
299,"laptop"
600.5,"laptop"
1000,"laptop"
1699.99,"laptop"
599.99,"laptop"
399.99,"laptop"
752.43,"laptop"
250.99,"laptop"
500,"laptop"
525.99,"laptop"
500,"laptop"
500,"laptop"
500,"laptop"
600,"laptop"
900,"laptop"
599.99,"laptop"
350,"laptop"
400,"laptop"
399.99,"laptop"
500,"laptop"
349.99,"laptop"
500,"laptop"
599.99,"laptop"
1500,"laptop"
800.59,"laptop"
300,"laptop"
349.99,"laptop"
900,"laptop"
649.98,"laptop"
500,"laptop"
699.99,"laptop"
899,"laptop"
700.99,"laptop"
600,"laptop"
995,"laptop"
300,"laptop"
400.5,"laptop"
450,"laptop"
600,"laptop"
594.96,"laptop"
549.55,"laptop"
350,"laptop"
278.99,"laptop"
499,"laptop"
699.99,"laptop"
800,"laptop"
299.99,"laptop"
499.99,"laptop"
799,"laptop"
500,"laptop"
469.99,"laptop"
599.99,"laptop"
237.47,"laptop"
350.99,"laptop"
650.98,"laptop"
325,"laptop"
700,"laptop"
1299.99,"laptop"
400,"laptop"
249.99,"laptop"
500.99,"laptop"
1200,"laptop"
575,"laptop"
1059.99,"laptop"
32.99,"sweater"
25,"sweater"
45,"sweater"
50,"sweater"
29.99,"sweater"
60,"sweater"
65,"sweater"
21.22,"sweater"
30,"sweater"
12.99,"sweater"
25.99,"sweater"
25,"sweater"
50,"sweater"
29.99,"sweater"
32.99,"sweater"
35.99,"sweater"
15,"sweater"
34.99,"sweater"
45,"sweater"
10.99,"sweater"
15,"sweater"
45.99,"sweater"
18,"sweater"
17.99,"sweater"
45,"sweater"
30.5,"sweater"
50,"sweater"
29,"sweater"
49.98,"sweater"
19.99,"sweater"
24.99,"sweater"
40,"sweater"
50,"sweater"
49.99,"sweater"
20,"sweater"
20,"sweater"
20,"sweater"
24.99,"sweater"
19.99,"sweater"
30.99,"sweater"
12,"sweater"
18.47,"sweater"
45,"sweater"
19.99,"sweater"
40,"sweater"
19.95,"sweater"
17.5,"sweater"
34.99,"sweater"
39.5,"sweater"
34.99,"sweater"
19.99,"sweater"
15,"sweater"
35,"sweater"
20.99,"sweater"
45,"sweater"
35.99,"sweater"
29.99,"sweater"
30.99,"sweater"
30,"sweater"
34.99,"sweater"
30,"sweater"
25,"sweater"
45,"sweater"
50,"sweater"
40,"sweater"
25.99,"sweater"
25.99,"sweater"
59.99,"sweater"
35.66,"sweater"
10,"sweater"
14.99,"sweater"
40.99,"sweater"
38.99,"sweater"
40,"sweater"
49.99,"sweater"
25,"sweater"
40,"sweater"
39.99,"sweater"
15,"sweater"
20,"sweater"
19.99,"sweater"
30,"sweater"
25,"sweater"
20,"sweater"
39.99,"sweater"
25,"sweater"
45.99,"sweater"
29.99,"sweater"
29.99,"sweater"
35,"sweater"
14.99,"sweater"
45,"sweater"
20.99,"sweater"
14.99,"sweater"
24.99,"sweater"
35,"sweater"
25,"sweater"
20,"sweater"
35,"sweater"
10.5,"sweater"
40,"sweater"
15.95,"sweater"
29.99,"sweater"
38,"sweater"
29.98,"sweater"
19.99,"sweater"
12.99,"sweater"
50,"sweater"
39.99,"sweater"
20.99,"sweater"
50,"sweater"
20,"sweater"
45.99,"sweater"
19.99,"sweater"
31.89,"sweater"
35,"sweater"
19.99,"sweater"
19.98,"sweater"
50,"sweater"
24.99,"sweater"
25,"sweater"
24.99,"sweater"
20.99,"sweater"
135,"sweater"
40,"sweater"
45.99,"sweater"
32.99,"watch"
25,"watch"
45,"watch"
50,"watch"
29.99,"watch"
60,"watch"
65,"watch"
21.22,"watch"
30,"watch"
12.99,"watch"
25.99,"watch"
25,"watch"
50,"watch"
29.99,"watch"
32.99,"watch"
35.99,"watch"
15,"watch"
34.99,"watch"
45,"watch"
10.99,"watch"
15,"watch"
45.99,"watch"
18,"watch"
17.99,"watch"
45,"watch"
30.5,"watch"
50,"watch"
29,"watch"
49.98,"watch"
19.99,"watch"
24.99,"watch"
40,"watch"
50,"watch"
49.99,"watch"
20,"watch"
20,"watch"
20,"watch"
24.99,"watch"
19.99,"watch"
30.99,"watch"
12,"watch"
18.47,"watch"
45,"watch"
19.99,"watch"
40,"watch"
19.95,"watch"
17.5,"watch"
34.99,"watch"
39.5,"watch"
34.99,"watch"
19.99,"watch"
15,"watch"
35,"watch"
20.99,"watch"
45,"watch"
35.99,"watch"
29.99,"watch"
30.99,"watch"
30,"watch"
34.99,"watch"
30,"watch"
25,"watch"
45,"watch"
50,"watch"
40,"watch"
25.99,"watch"
25.99,"watch"
59.99,"watch"
35.66,"watch"
10,"watch"
14.99,"watch"
40.99,"watch"
38.99,"watch"
40,"watch"
49.99,"watch"
25,"watch"
40,"watch"
39.99,"watch"
15,"watch"
20,"watch"
19.99,"watch"
30,"watch"
25,"watch"
20,"watch"
39.99,"watch"
25,"watch"
45.99,"watch"
29.99,"watch"
29.99,"watch"
35,"watch"
14.99,"watch"
45,"watch"
20.99,"watch"
14.99,"watch"
24.99,"watch"
35,"watch"
25,"watch"
20,"watch"
35,"watch"
10.5,"watch"
40,"watch"
15.95,"watch"
29.99,"watch"
38,"watch"
29.98,"watch"
19.99,"watch"
12.99,"watch"
50,"watch"
39.99,"watch"
20.99,"watch"
50,"watch"
20,"watch"
45.99,"watch"
19.99,"watch"
31.89,"watch"
35,"watch"
19.99,"watch"
19.98,"watch"
50,"watch"
24.99,"watch"
25,"watch"
24.99,"watch"
20.99,"watch"
135,"watch"
40,"watch"
45.99,"watch"
