"","item","price"
"131","electric.kettle",49.99
"132","electric.kettle",29
"133","electric.kettle",29.99
"134","electric.kettle",28.99
"135","electric.kettle",20
"136","electric.kettle",24.99
"137","electric.kettle",59.99
"138","electric.kettle",29.5
"139","electric.kettle",65
"140","electric.kettle",85.99
"141","electric.kettle",20.99
"142","electric.kettle",25
"143","electric.kettle",25
"144","electric.kettle",19.99
"145","electric.kettle",40
"146","electric.kettle",55
"147","electric.kettle",40
"148","electric.kettle",15.95
"149","electric.kettle",35
"150","electric.kettle",24.99
"151","electric.kettle",60
"152","electric.kettle",45.73
"153","electric.kettle",50
"154","electric.kettle",19.99
"155","electric.kettle",45.99
"156","electric.kettle",39.99
"157","electric.kettle",29.99
"158","electric.kettle",25
"159","electric.kettle",39.99
"160","electric.kettle",14.99
"161","electric.kettle",15
"162","electric.kettle",29.99
"163","electric.kettle",10.99
"164","electric.kettle",34.99
"165","electric.kettle",19.99
"166","electric.kettle",40
"167","electric.kettle",55
"168","electric.kettle",40
"169","electric.kettle",34.99
"170","electric.kettle",14.99
"171","electric.kettle",30
"172","electric.kettle",24.95
"173","electric.kettle",25
"174","electric.kettle",49.99
"175","electric.kettle",34.99
"176","electric.kettle",24.99
"177","electric.kettle",24.98
"178","electric.kettle",25
"179","electric.kettle",50
"180","electric.kettle",15.99
"181","electric.kettle",40
"182","electric.kettle",25.5
"183","electric.kettle",35.99
"184","electric.kettle",13
"185","electric.kettle",25
"186","electric.kettle",21.99
"187","electric.kettle",20
"188","electric.kettle",30
"189","electric.kettle",15
"190","electric.kettle",50
"191","electric.kettle",35
"192","electric.kettle",30
"193","electric.kettle",19.99
"194","electric.kettle",45.5
"195","electric.kettle",49.97
"196","electric.kettle",30.99
"197","electric.kettle",50
"198","electric.kettle",10.5
"199","electric.kettle",30
"200","electric.kettle",15
"201","electric.kettle",30
"202","electric.kettle",24.99
"203","electric.kettle",30
"204","electric.kettle",49.99
"205","electric.kettle",25
"206","electric.kettle",20
"207","electric.kettle",25
"208","electric.kettle",15
"209","electric.kettle",35
"210","electric.kettle",15
"211","electric.kettle",19.99
"212","electric.kettle",15
"213","electric.kettle",35
"214","electric.kettle",10
"215","electric.kettle",19.99
"216","electric.kettle",40
"217","electric.kettle",9.99
"218","electric.kettle",25
"219","electric.kettle",25.99
"220","electric.kettle",23.99
"221","electric.kettle",40.99
"222","electric.kettle",20
"223","electric.kettle",25
"224","electric.kettle",15
"225","electric.kettle",45
"226","electric.kettle",25
"227","electric.kettle",19.99
"228","electric.kettle",75.95
"229","electric.kettle",59.99
"230","electric.kettle",25
"231","electric.kettle",24.99
"232","electric.kettle",50
"233","electric.kettle",24.99
"234","electric.kettle",40
"235","electric.kettle",49.99
"236","electric.kettle",29.99
"237","electric.kettle",18.99
"238","electric.kettle",75
"239","electric.kettle",49.99
"240","electric.kettle",24.99
"241","electric.kettle",15.49
"242","electric.kettle",45
"243","electric.kettle",50.99
"244","electric.kettle",19.95
"245","electric.kettle",15
"246","electric.kettle",21.99
"247","electric.kettle",30
"248","electric.kettle",24.99
"249","electric.kettle",40.79
"250","electric.kettle",39.99
"251","electric.kettle",25
"252","electric.kettle",36.5
"253","headphones",18.99
"254","headphones",10
