"","price","object"
"207",49.99,"headphones"
"208",35,"headphones"
"209",39.99,"headphones"
"210",20,"headphones"
"211",9.95,"headphones"
"212",30,"headphones"
"213",69.99,"headphones"
"214",50,"headphones"
"215",9.99,"headphones"
"216",50,"headphones"
"217",49.99,"headphones"
"218",30,"headphones"
"219",12.99,"headphones"
"220",49,"headphones"
"221",39.99,"headphones"
"222",35,"headphones"
"223",10,"headphones"
"224",15,"headphones"
"225",30,"headphones"
"226",10,"headphones"
"227",14.99,"headphones"
"228",19.99,"headphones"
"229",39.89,"headphones"
"230",10,"headphones"
"231",14.99,"headphones"
"232",15,"headphones"
"233",9.99,"headphones"
"234",35,"headphones"
"235",9.99,"headphones"
"236",9.99,"headphones"
"237",80,"headphones"
"238",20,"headphones"
"239",27.99,"headphones"
"240",9.99,"headphones"
"241",23.99,"headphones"
"242",24.99,"headphones"
"243",4.99,"headphones"
"244",15.99,"headphones"
"245",25,"headphones"
"246",15.89,"headphones"
"247",20,"headphones"
"248",9.99,"headphones"
"249",50.5,"headphones"
"250",100,"headphones"
"251",17,"headphones"
"252",29.99,"headphones"
"253",640,"laptop"
"254",400,"laptop"
"255",800,"laptop"
"256",700,"laptop"
"257",650.99,"laptop"
"258",399.99,"laptop"
"259",499.99,"laptop"
"260",800,"laptop"
"261",500,"laptop"
"262",699.99,"laptop"
"263",800,"laptop"
"264",329.99,"laptop"
"265",800,"laptop"
"266",499.99,"laptop"
"267",500.5,"laptop"
"268",699.99,"laptop"
"269",1000,"laptop"
"270",699.99,"laptop"
"271",500,"laptop"
"272",299.99,"laptop"
"273",300,"laptop"
"274",424.99,"laptop"
"275",800,"laptop"
"276",550,"laptop"
"277",650,"laptop"
"278",1220.99,"laptop"
"279",800,"laptop"
"280",799,"laptop"
"281",499.99,"laptop"
"282",750,"laptop"
"283",599.99,"laptop"
"284",650,"laptop"
"285",599.99,"laptop"
"286",1000,"laptop"
"287",900,"laptop"
"288",450,"laptop"
"289",450.5,"laptop"
"290",599.99,"laptop"
"291",599.99,"laptop"
"292",600.99,"laptop"
"293",300,"laptop"
"294",400,"laptop"
"295",529.99,"laptop"
"296",999.99,"laptop"
"297",1000,"laptop"
"298",499.95,"laptop"
"299",750,"laptop"
"300",899.99,"laptop"
"301",425,"laptop"
"302",399.99,"laptop"
"303",398.99,"laptop"
"304",700,"laptop"
"305",400,"laptop"
"306",700,"laptop"
"307",399.99,"laptop"
"308",678.65,"laptop"
"309",800,"laptop"
"310",379.99,"laptop"
"311",800,"laptop"
"312",299.99,"laptop"
"313",500,"laptop"
"314",499,"laptop"
"315",299,"laptop"
"316",600.5,"laptop"
"317",1000,"laptop"
"318",1699.99,"laptop"
"319",599.99,"laptop"
"320",399.99,"laptop"
"321",752.43,"laptop"
"322",250.99,"laptop"
"323",500,"laptop"
"324",525.99,"laptop"
"325",500,"laptop"
"326",500,"laptop"
"327",500,"laptop"
"328",600,"laptop"
"329",900,"laptop"
"330",599.99,"laptop"
"331",350,"laptop"
"332",400,"laptop"
"333",399.99,"laptop"
"334",500,"laptop"
"335",349.99,"laptop"
"336",500,"laptop"
"337",599.99,"laptop"
"338",1500,"laptop"
"339",800.59,"laptop"
"340",300,"laptop"
"341",349.99,"laptop"
"342",900,"laptop"
"343",649.98,"laptop"
"344",500,"laptop"
"345",699.99,"laptop"
"346",899,"laptop"
"347",700.99,"laptop"
"348",600,"laptop"
"349",995,"laptop"
"350",300,"laptop"
"351",400.5,"laptop"
"352",450,"laptop"
"353",600,"laptop"
"354",594.96,"laptop"
"355",549.55,"laptop"
"356",350,"laptop"
"357",278.99,"laptop"
"358",499,"laptop"
"359",699.99,"laptop"
"360",800,"laptop"
"361",299.99,"laptop"
"362",499.99,"laptop"
"363",799,"laptop"
"364",500,"laptop"
"365",469.99,"laptop"
"366",599.99,"laptop"
"367",237.47,"laptop"
"368",350.99,"laptop"
"369",650.98,"laptop"
"370",325,"laptop"
"371",700,"laptop"
"372",1299.99,"laptop"
"373",400,"laptop"
"374",249.99,"laptop"
"375",500.99,"laptop"
"376",1200,"laptop"
"377",575,"laptop"
"378",1059.99,"laptop"
"379",32.99,"sweater"
"380",25,"sweater"
"381",45,"sweater"
"382",50,"sweater"
"383",29.99,"sweater"
"384",60,"sweater"
"385",65,"sweater"
"386",21.22,"sweater"
"387",30,"sweater"
"388",12.99,"sweater"
"389",25.99,"sweater"
"390",25,"sweater"
"391",50,"sweater"
