type,param,property,category,val,prob
S1,24,11,headphones,0.006938317977962829,0.0020000000000000005
S1,96,11,headphones,0.30188953966367216,0.0020000000000000005
S1,60,11,headphones,0.07118226066137988,0.0020000000000000005
Inductive,180.6,11,headphones,0.12563006103748742,0.0020000000000000005
Inductive,129,11,headphones,0.26562244655520917,0.0020000000000000005
Inductive,25.8,11,headphones,0.7985864606993309,0.0020000000000000005
Inductive,258,11,headphones,0,0.0020000000000000005
Inductive,2.58,11,headphones,0.9795535207625621,0.0020000000000000005
price_prior,mu,NA,headphones,4.647836340507985,0.0020000000000000005
price_prior,sigma,NA,headphones,0.8800934251803791,0.0020000000000000005
S1,1850,11,laptop,0.8112436882526667,0.0020000000000000005
S1,900,11,laptop,0.3233374893520558,0.0020000000000000005
S1,350,11,laptop,0.02044700252386902,0.0020000000000000005
S1,600,11,laptop,0.10755977015210824,0.0020000000000000005
S1,1250,11,laptop,0.6265737652975818,0.0020000000000000005
